Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
SENORES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
VIYASH,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SESHAPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
SAFARI,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
SHAKTIPUMP,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
SHALBY,Healthcare,Healthcare,Healthcare Services,Hospital
SHANKARA,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
SHANTIGEAR,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SHARDACROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SHARDAMOTR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SHAREINDIA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
SFL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
SCPL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
SHILPAMED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SEAMECLTD,Services,Services,Transport Services,Shipping
SCI,Services,Services,Transport Services,Shipping
SHIVATEX,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SHIVALIK,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SHAILY,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SHREECEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SHREEPUSHK,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
SHREYANIND,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
SHRIRAMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SHRIPISTON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SHYAMMETL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SIEMENS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SIGNATURE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SIGNPOST,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
SILINV,Financial Services,Financial Services,Finance,Investment Company
SILVERTUC,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SIMPLEXINF,Industrials,Construction,Construction,Civil Construction
SIRCA,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
SIS,Consumer Discretionary,Consumer Services,Other Consumer Services,Other Consumer Services
SIYSIL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SHOPERSTOP,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
SENCO,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SKFINDIA,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
SKIPPER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SBCL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SMARTLINK,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
SMCGLOBAL,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
SMSPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SOBHA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SOFTTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SOLARINDS,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
SOLARA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SDBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
SOMANYCERA,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
SOMICONVEY,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SONACOMS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SONATSOFTW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SPANDANA,Financial Services,Financial Services,Finance,Microfinance Institutions
SPECIALITY,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
SKYGOLD,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SJVN,Utilities,Power,Power,Power Generation
SPECTRUM,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SPORTKING,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SREEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
SRF,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
SRGHFL,Financial Services,Financial Services,Finance,Housing Finance Company
SRM,Industrials,Construction,Construction,Civil Construction
STANLEY,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
STARCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
STARHEALTH,Financial Services,Financial Services,Insurance,General Insurance
STARPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
STARTECK,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBIN,Financial Services,Financial Services,Banks,Public Sector Bank
STCINDIA,Services,Services,Commercial Services & Supplies,Trading & Distributors
SAIL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
SSWL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
STEELCAS,Industrials,Capital Goods,Industrial Products,Castings & Forgings
SKMEGGPROD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry
SWSOLAR,Industrials,Construction,Construction,Civil Construction
SRHHYPOLTD,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
STERTOOLS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
STAR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
STYRENIX,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
SUBROS,Industrials,Capital Goods,Industrial Products,Other Industrial Products
SUDARSCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
SUKHJITS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
SULA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
SUMICHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SUMMITSEC,Financial Services,Financial Services,Finance,Investment Company
SPARC,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SUNPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SUNTV,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
SUNDRMBRAK,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNDARMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SPMLINFRA,Industrials,Construction,Construction,Civil Construction
SUNCLAY,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNDRMFAST,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNFLAG,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SUNTECK,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
STYLAMIND,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
SUPERHOUSE,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
SUPREMEIND,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SPLPETRO,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
SUPRIYA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SURAJEST,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SURAJLTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SURAKSHA,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
SURYAROSNI,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SURYODAY,Financial Services,Financial Services,Banks,Other Bank
SUVEN,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
SWARAJENG,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
SWIGGY,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
SUNDROP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
SGIL,Industrials,Capital Goods,Industrial Products,Castings & Forgings
SYNGENE,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
SYRMA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
TAINWALCHM,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
TAJGVK,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
TALBROAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
STOVEKRAFT,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
TNPL,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
TMB,Financial Services,Financial Services,Banks,Private Sector Bank
TANLA,Information Technology,Information Technology,IT - Software,Software Products
TARC,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
TASTYBITE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
SUPRAJIT,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SYMPHONY,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
TATACOMM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
TCS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TATACONSUM,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
TATAELXSI,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TATAINVEST,Financial Services,Financial Services,Finance,Investment Company
TMCV,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
TMPV,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
TATAPOWER,Utilities,Power,Power,Integrated Power Utilities
TATASTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
TATATECH,Information Technology,Information Technology,IT - Services,IT Enabled Services
TATVA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
TBOTEK,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
TCIEXP,Services,Services,Transport Services,Logistics Solution Provider
TCPLPACK,Industrials,Capital Goods,Industrial Products,Packaging
TDPOWERSYS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TEAMLEASE,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
TECHM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TECHNOE,Industrials,Construction,Construction,Civil Construction
TARSONS,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
TEJASNET,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
